"dishes, crockery",vaisselle
to do the dishes,faire la vaisselle
small bowl,bol
large bowl,saladier
cup,tasse
dish,plat
glass,verre
wine glass,verre à vin
jar,pot
mug,tasse
plate,assiette
saucer,soucoupe
tray,plateau
vase,vase
silverware,argenterie
fork,fourchette
knife,couteau
spoon,cuillère
pots and pans,batterie de cuisine
bread/loaf pan,moule à cake
cake pan,moule à gâteaux
casserole,cocotte
"cookie sheet, baking tray",plaque de four
frying pan,poêle (à frire)
mold,moule
pie plate,moule à tarte
pot,cocotte;marmite
roasting pan,plat à rôtir
sauce pan,casserole
