apathetic,amorphe; apathique; nonchalant,passionné; émotive; enthousiaste; fervent
boring,ennuyeux; fatiguant,amusant; intéressant; piquant
brave,courageux; fort; hardi,lâche; craintif; timide
charming,charmant; séduisant; gracieux; charismatique,repoussant; répulsif; dégoûtant; laid; monstrueux; abominable
cowardly,lâche; froussard; mou; peureux,hardi; courageux; brave; audacieux
creative,créatif; inventif,banal; prévisible; répétitive
"cunning, shrewd",malin; futé,inintellilgent; honnête; naïf
energetic,énergique; dynamique; animé; vif; vivant,léthargique; sans vie
friendly,amical; cordial; sympathique; sympa; affectueux; chaleureux,froid; insensible; indifférent; inamical; hostile; impoli
funny,drôle; amusant; comique; plaisant,sérieux; grave; terne; ennuyeux
hard-working,travailleur; laborieux; appliqué; zélé; diligent,paresseux; fainéant; indolent
honest,honnête; droit; franc; intègre; moral; loyal,malhonnête; déloyal; sournois; perfide
impatient,impatient; ardent; nerveux; vif,patient; dur; constant; persévérant; acharné
interesting,intéressant; piquant,ennuyeux; fatiguant
kind,gentil; aimable; gracieux; doux; bon; affable,méchant; désagréable; mauvais; cruel
lazy,paresseux; mou; lent; indolent; fainéant,travailleur; laborieux; appliqué; zélé; diligent
loyal,fidèle; loyal; dévoué,perfide; traître; déloyal; infidèle
mean,méchant; désagréable; mauvais; cruel,gentil; aimable; gracieux; doux; bon; affable
naive,naïf; simple; innocent; niais,expérimenté; éprouvé; astucieux; rusé
nice,sympathique; sympa; gracieux; agréable; aimable; acceuillant,méchant; désagréable; mauvais; cruel
outgoing,ouvert; franc; clair; vif; sortant,introverti; timide; indécis; craintif; vague; incertain
patient,patient; dur; constant; persévérant; acharné,impatient; ardent; nerveux; vif
patriotic,patriotique; nationaliste; civique,traître
playful,taquin; farceur; moqueur; blagueur; facétieux,sérieux; grave; terne; ennuyeux
quirky,excentrique; bizarre; extravagant; original; fou,sérieux; grave; terne; ennuyeux
serious,sérieux; grave; posé; calme,taquin; farceur; moqueur; blagueur; facétieux; excentrique; bizarre; extravagant; original; fou
shy,introverti; timide; indécis; craintif; vague; incertain,ouvert; franc; clair; vif; sortant
smart,intelligent; pénétrant; habile; perçant,stupide; bête; sot; niais; idiot; dinde; ballot
snobbish,snob; affecté; poseur; mondain; sélect,humble; modeste; modéré; amical; cordial; sympathique; sympa; affectueux; chaleureux
sophisticated,raffiné; élégant; chic,naïf; simple; innocent; niais; rustre; grossier
studious,studieux; appliqué; zélé,frivole; paresseux; indolent; fainéant
stupid,stupide; bête; sot; niais; idiot; dinde; ballot,intelligent; pénétrant; habile; perçant
unfriendly,froid; insensible; indifférent; inamical; hostile; impoli,amical; cordial; sympathique; sympa; affectueux; chaleureux
well-behaved,sage; bon; calme; prudent; sérieux; raisonnable; réservé,désobéissant; indiscipliné; désordonné; mal comporté; rebelle
