father,père 
mother,mère
"step-father, father-in-law",beau-père
"step-mother, mother-in-law",belle-mère
son,fils
daughter,fille
brother,frère
sister,soeur
half-brother,demi-frère
half-sister,demie-soeur
"step-brother,brother-in-law",beau-frère
"step-sister, sister-in-law",belle-soeur
grandfather,grand-père; pépé
grandmother,grand-mère; mémé
grandson,petit-fils
granddaughter,petite-fille
aunt,tante
uncle,oncle
nephew,neveu
niece,nièce
cousin (m.),cousin
cousin (f.),cousine
relative,parent
girlfriend,petite amie; amie; copine
boyfriend,petit ami; ami; copain
wife,femme; épouse
husband,mari; époux
