amazed,ébahi; surpris; stupéfait; ahuri; étonné,tranquille; posé; calme; serein; indifférent; impartial; détaché; indifférent; impartial; détaché
angry,fâché; irrité; en colère; furieux,tranquille; posé; calme; serein; indifférent; impartial; détaché; gai; joyeux; content; enjoué; jovial; heureux; enchanté; satisfait; béat; ravi; enthousiaste; enchanté
annoyed,ennuyé; énervé; embêté; agacé; irrité; mécontent,tranquille; posé; calme; serein; indifférent; impartial; détaché; gai; joyeux; content; enjoué; jovial; heureux; enchanté; satisfait; béat; ravi; enthousiaste; enchanté
ashamed,honteux; déconfit; timide,tranquille; posé; calme; serein; indifférent; impartial; détaché; fier; orgueilleux; assuré; certain; sûr; confiant
bored,ennuyé,occupé
busy,occupé,ennuyé
calm,tranquille; posé; calme; serein,heureux; satisfait; tendu; joyeux; énervé; terrifié; livide; stupéfait; pressé; étonné; béat; abasourdi; agacé; agité; en colère; ébahi; gai; mécontent; effrayé; hâte; sombre; content; excité; embarrassé; désolé; anxieux; étourdi; jaloux; actif; découragé; apeuré; jovial; frustré; envieux; inquiet; craintif; ahuri; timide; furieux; impatient; peureux; morose; honteux; ravi; gêné; triste; enchanté; déconfit; nerveux; animé; emballé; énergique; affligé; stupéfié; irrité; fâché; embêté; enjoué; enthousiaste; horrifié; navré; douleureux; surpris
cheerful,gai; joyeux; content; enjoué; jovial,tranquille; posé; calme; serein; indifférent; impartial; détaché; triste; sombre; morose; découragé; douleureux; grincheux; grognon; bougon
confident,assuré; certain; sûr; confiant,incertain; hésitant
confused,désorienté; confus; embrouillé,lucide
delighted,ravi; enthousiaste; enchanté,tranquille; posé; calme; serein; indifférent; impartial; détaché; navré; désolé; affligé; triste; sombre; morose; découragé; douleureux
"distressed, sorry",navré; désolé; affligé; triste,tranquille; posé; calme; serein; indifférent; impartial; détaché; heureux; content; enchanté; joyeux; gai; fier; orgueilleux; satisfait; béat
embarrassed,embarrassé; gêné; inquiet,tranquille; posé; calme; serein; indifférent; impartial; détaché; fier; orgueilleux; assuré; certain; sûr; confiant
excited,emballé; enthousiaste; hâte; excité; agité,tranquille; posé; calme; serein; indifférent; impartial; détaché; ennuyé; hésitant; indifférent; impartial; détaché
exhausted,épuisé; fatigué; tari; crevé,énergique
frustrated,frustré,tranquille; posé; calme; serein; indifférent; impartial; détaché; heureux; content; enchanté; joyeux; gai; satisfait; béat
grumpy,grincheux; grognon; bougon,tranquille; posé; calme; serein; indifférent; impartial; détaché; gai; joyeux; content; enjoué; jovial
happy,heureux; content; enchanté; joyeux; gai,tranquille; posé; calme; serein; indifférent; impartial; détaché; ennuyé; énervé; embêté; agacé; irrité; mécontent; honteux; déconfit; timide; navré; désolé; affligé; triste; frustré; grincheux; grognon; bougon; jaloux; envieux; triste; sombre; morose; découragé; douleureux
hesitant,hésitant,assuré; certain; sûr; confiant
horrified,horrifié; terrifié; effrayé,tranquille; posé; calme; serein; indifférent; impartial; détaché; assuré; certain; sûr; confiant
hyper(active),excité; énergique; animé; actif,tranquille; posé; calme; serein; indifférent; impartial; détaché
indifferent,indifférent; impartial; détaché,heureux; satisfait; tendu; joyeux; énervé; terrifié; livide; stupéfait; pressé; étonné; béat; abasourdi; agacé; agité; en colère; ébahi; gai; mécontent; effrayé; hâte; sombre; content; excité; embarrassé; désolé; anxieux; étourdi; jaloux; actif; découragé; apeuré; jovial; frustré; envieux; inquiet; craintif; ahuri; timide; furieux; impatient; peureux; morose; honteux; ravi; gêné; triste; enchanté; déconfit; nerveux; animé; emballé; énergique; affligé; stupéfié; irrité; fâché; embêté; enjoué; enthousiaste; horrifié; navré; douleureux; surpris
irritated,agacé; irrité; ennuyé; énervé,tranquille; posé; calme; serein; indifférent; impartial; détaché; heureux; content; enchanté; joyeux; gai; satisfait; béat
jealous,jaloux; envieux,tranquille; posé; calme; serein; indifférent; impartial; détaché; heureux; content; enchanté; joyeux; gai; satisfait; béat
lonely,solitaire; seul; isolé; séparé,accepté; admis
lucid,lucide,désorienté; confus; embrouillé; abasourdi; étonné; stupéfait; étourdi; stupéfié
nervous,nerveux; énervé; agité; inquiet; anxieux; tendu,tranquille; posé; calme; serein; indifférent; impartial; détaché
pleased,content; satisfait; béat; heureux,tranquille; posé; calme; serein; indifférent; impartial; détaché; ennuyé; énervé; embêté; agacé; irrité; mécontent; honteux; déconfit; timide; navré; désolé; affligé; triste; frustré; grincheux; grognon; bougon; jaloux; envieux; triste; sombre; morose; découragé; douleureux
proud,fier; orgueilleux,tranquille; posé; calme; serein; indifférent; impartial; détaché; honteux; déconfit; timide; embarrassé; gêné; inquiet
"rushed, in a hurry",pressé; impatient,tranquille; posé; calme; serein; indifférent; impartial; détaché; patient
sad,triste; sombre; morose; découragé; douleureux,tranquille; posé; calme; serein; indifférent; impartial; détaché; heureux; content; enchanté; joyeux; gai; satisfait; béat
scared,effrayé; craintif; apeuré; peureux,tranquille; posé; calme; serein; indifférent; impartial; détaché
stunned,abasourdi; étonné; stupéfait; étourdi; stupéfié,tranquille; posé; calme; serein; indifférent; impartial; détaché; lucide
surprised,surpris; étonné; ébahi,tranquille; posé; calme; serein; indifférent; impartial; détaché
tired,fatigué; crevé,énergique
