non-alcoholic drinks,boissons non alcoolisées
coffee,café
espresso,express;café
hot chocolate,chocolat (chaud) 
juice,jus
lemonade,citron pressé
milk,lait
"pop, soda, soft drink",soda;boisson gazeuse
citrus soda,Orangina
cola,coca
"lemon soda (eg, 7-Up)",limonade
tea,thé
iced tea,thé glacé
herbal tea,tisane;infusion
water,eau
still / plain water,eau plate;eau non-gazeuse
sparkling / mineral water,eau gazeuse
tap water,eau du robinet
alcoholic drinks,boissons alcoolisées
after-dinner drink,digestif
anise-flavored apéritif,pastis
beer,bière
beer on tap,pression
champagne,champagne
"cocktail, pre-dinner drink",apéritif;apéro
hard cider,cidre
wine,vin
