to be hungry,avoir faim
to eat,manger
meal,repas
breakfast,petit-déjeuner
lunch,déjeuner
to have breakfast or lunch,déjeuner
dinner,dîner
to have dinner,dîner
after-school snack,goûter
to taste,goûter
"appetizer, starter",hors d'œuvre; entrée
soup,soupe; potage
main course,plat principal
salad,salade
dessert,dessert
"kitchen, cooking",cuisine
dining room,salà manger
restaurant,restaurant
fruit,les fruits
apricot,abricot
pineapple,ananas
banana,banane
cherry,cerise
lemon,citron
lime,citron vert
fig,figue
strawberry,fraise
raspberry,framboise
pomegranate,grenade
melon,melon
blackberry,mûre
blueberry,myrtille
orange,orange
grapefruit,pamplemousse
watermelon,pastèque
peach,pêche
pear,poire
apple,pomme
plum,prune
grape,raisin
vegetables,légumes
garlic,ail
artichoke,artichaut
asparagus,asperges
eggplant,aubergine
beet,betterave
carrot,carotte
celery,céleri
mushroom,champignon
cauliflower,chou-fleur
cucumber,concombre
zucchini,courgette
spinach,épinards
bean,haricot
lettuce,laitue
onion,oignon
corn,maïs
peas,petits pois
bell pepper,poivron
potato,pomme de terre
radish,radis
tomato,tomate
meat,viande
lamb,agneau
anchovies,anchois
steak,bifteck
turkey,dinde
snail,escargot
ham,jambon
rabbit,lapin
fish,poisson
pork,porc
chicken,poulet
roast beef,rosbif
sausage,saucisson
veal,veau
dairy products,produits laitiers
buttermilk,babeurre
butter,beurre
cream,crème
sour cream,crème aigre
cheese,fromage
cream cheese,fromage blanc
ice cream,glace
milk,lait
yogurt,yaourt
dessert,dessert
cookie,biscuit
candy,bonbons
chocolate,chocolat
custard w/ burnt sugar,crème brûlée
flan,crème caramel
cheese,fromage
fruit,fruits
cake,gâteau
ice cream,glace
chocolate mousse,mousse au chocolat
pie,tarte
vanilla,vanille
jam,confiture
croissant,croissant
flour,farine
fries,frites
olive oil,huile d'olive
mayonnaise,mayonnaise
mustard,moutarde
egg,œuf
bread,pain
toast,pain grillé
pasta,pâtes
pepper,poivre
rice,riz
"sauce, dressing, gravy",sauce
salt,sel
sugar,sucre
