teacher’s desk,bureau
notebook,cahier
calculator,calculatrice
"schoolbag, satchel",cartable
map,carte
class,classe
classroom,salle de classe
binder,classeur; cahier
course,cours
chalk,craie
pencil,crayon
homework,devoirs
dictionary,dictionnaire
test,examen
eraser,gomme
book,livre
computer,ordinateur; ordi
paper,papier
piece of paper,feuille de papier
"front and back, both sides",recto verso
student desk,pupitre
ruler,règle
backpack,sac à dos
pen,stylo
fountain pen,stylo-plume
chalkboard,tableau
pencil sharpener,taille-crayon
pencil case,trousse
